"file","soil_series"
"AZ-2011-05-27-12.tif","Cipriano"
"AZ-2011-05-27-12.tif","Comobabi"
"AZ-2011-05-27-12.tif","Coolidge"
"AZ-2011-05-27-12.tif","Cuerda"
"AZ-2011-05-27-12.tif","Dateland"
"AZ-2011-05-27-12.tif","Denure"
"AZ-2011-05-27-12.tif","Gilman"
"AZ-2011-05-27-12.tif","Gunsight"
"AZ-2011-05-27-12.tif","Lagunita"
"AZ-2011-05-27-12.tif","Momoli"
"AZ-2011-05-27-12.tif","Quilotosa"
"AZ-2011-05-27-12.tif","Rillito"
"AZ-2011-05-27-12.tif","Vaiva"
"AZ-2011-05-27-12.tif","Why "
"AZ-2011-05-27-13.tif","Carrizo"
"AZ-2011-05-27-13.tif","Cherioni"
"AZ-2011-05-27-13.tif","Cipriano"
"AZ-2011-05-27-13.tif","Cuerda"
"AZ-2011-05-27-13.tif","Dateland"
"AZ-2011-05-27-13.tif","Denure"
"AZ-2011-05-27-13.tif","Gunsight"
"AZ-2011-05-27-13.tif","Hyder"
"AZ-2011-05-27-13.tif","Rillito"
"AZ-2011-05-27-13.tif","Why"
"AZ-2011-05-27-18.tif","Splanod"
"AZ-2011-05-27-18.tif","Torriorthents"
"AZ-2011-05-27-19.tif","Rizno"
"AZ-2011-05-27-19.tif","Ustorthents"
"AZ-2011-05-27-20.tif","Curhollow"
"AZ-2011-05-27-20.tif","Puertecito"
"AZ-2011-05-27-20.tif","Tenderfoot"
"AZ-2011-05-27-20.tif","Tusayan"
"AZ-2011-05-27-20.tif","Winona"
"AZ-2011-05-27-21.tif","Deama"
"AZ-2011-05-27-21.tif","Disterheff"
"AZ-2011-05-27-21.tif","Natank"
"AZ-2011-05-27-21.tif","Toqui"
"AZ-2011-05-27-21.tif","Yumtheska"
"AZ-2011-05-27-22.tif","Pinntank"
"AZ-2011-05-27-22.tif","Pocomate"
"AZ-2011-05-27-22.tif","Retsover"
"AZ-2011-05-27-22.tif","Theecan "
"AZ-2011-05-27-23.tif","Brolliar"
"AZ-2011-05-27-23.tif","Chilson"
"AZ-2011-05-27-23.tif","Hogg"
"AZ-2011-05-27-23.tif","Jacks"
"AZ-2011-05-27-23.tif","McVickers"
"AZ-2011-05-27-23.tif","Palomino"
"AZ-2011-05-27-23.tif","Soldier"
"AZ-2011-05-27-23.tif","Tortugas"
"AZ-2011-05-27-23.tif","Wildcat"
"AZ-2011-05-27-24.tif","Disterheff"
"AZ-2011-05-27-24.tif","Gem"
"AZ-2011-05-27-24.tif","Hogg"
"AZ-2011-05-27-24.tif","Jacks"
"AZ-2011-05-27-24.tif","McVickers"
"AZ-2011-05-27-24.tif","Springerville"
"AZ-2011-05-27-24.tif","Tortugas"
"AZ-2011-05-27-24.tif","Winona"
"AZ-2011-05-27-25.tif","Deloro"
"AZ-2011-05-27-25.tif","Mabray"
"AZ-2011-05-27-25.tif","Mohave"
"AZ-2011-05-27-25.tif","Pinaleno"
"AZ-2011-05-27-25.tif","Sahuarita"
"AZ-2011-05-27-25.tif","Yaqui"
"AZ-2011-05-27-26.tif","Altar"
"AZ-2011-05-27-26.tif","Lampshire"
"AZ-2011-05-27-26.tif","Romero"
"AZ-2011-05-27-26.tif","Sasabe"
"AZ-2011-05-27-26.tif","White House"
"AZ-2011-05-27-27.tif","Arizo"
"AZ-2011-05-27-27.tif","Delnorte"
"AZ-2011-05-27-27.tif","Nahda"
"AZ-2011-05-27-27.tif","Pantak "
"AZ-2011-05-27-28.tif","Akela"
"AZ-2011-05-27-28.tif","Cipriano"
"AZ-2011-05-27-28.tif","Denure"
